Season,FlightDistance,FlightDuration,DepartureAirportCongestion,ArrivalAirportCongestion,DayOfWeek,TimeOfFlight,ScheduledDepartureTime,ActualDepartureTime,DepartureDelay,Temperature,Visibility,WindSpeed,WeatherEvent,Delayed
Autumn,3371,73,37,5,Saturday,Afternoon,01/10/2024 16:00,01/10/2024 16:00,105,20.47529455,3722,21.01666547,Clear,0
Autumn,9489,563,21,2,Friday,Night,01/10/2024 17:00,01/10/2024 17:00,6,18.42159772,5656,47.17765728,Clear,1
Autumn,7909,290,49,30,Friday,Morning,01/10/2024 18:00,01/10/2024 18:00,39,29.59965167,2325,45.12669413,Clear,1
Summer,7918,143,31,47,Wednesday,Evening,01/10/2024 19:00,01/10/2024 19:00,69,39.33438058,5133,43.6080576,Adverse,1
Spring,5624,189,25,39,Saturday,Afternoon,01/10/2024 20:00,01/10/2024 20:00,85,2.543673586,3869,3.562916632,Clear,1
Winter,1515,204,23,4,Monday,Afternoon,01/10/2024 21:00,01/10/2024 21:00,64,15.48282254,2242,42.71290308,Clear,1
Spring,2693,87,24,33,Monday,Evening,01/10/2024 22:00,01/10/2024 22:00,67,35.44327032,9539,39.08177227,Adverse,1
Autumn,8915,125,38,13,Wednesday,Evening,01/10/2024 23:00,01/10/2024 23:00,109,29.25949422,2831,5.17564735,Clear,0
Autumn,7949,222,28,20,Wednesday,Morning,02/10/2024 00:00,02/10/2024 00:00,48,14.37031516,2569,5.370716272,Adverse,0
Spring,4658,288,21,7,Wednesday,Night,02/10/2024 01:00,02/10/2024 01:00,51,37.26858248,8246,5.058190576,Adverse,0
Spring,4425,320,43,15,Monday,Afternoon,02/10/2024 02:00,02/10/2024 02:00,113,-7.138165324,2918,0.56662966,Clear,1
Spring,7470,508,18,23,Friday,Night,02/10/2024 03:00,02/10/2024 03:00,106,36.54993099,7416,27.43171526,Adverse,1
Autumn,7438,483,36,14,Wednesday,Afternoon,02/10/2024 04:00,02/10/2024 04:00,28,-7.474630381,4232,48.66971457,Clear,1
Autumn,5284,519,35,23,Tuesday,Afternoon,02/10/2024 05:00,02/10/2024 05:00,20,17.36523721,4758,21.93423514,Clear,1
Winter,4500,360,45,19,Sunday,Night,02/10/2024 06:00,02/10/2024 06:00,89,34.5220474,6997,27.03787509,Clear,1
Winter,2133,362,9,29,Wednesday,Evening,02/10/2024 07:00,02/10/2024 07:00,77,3.136047178,3355,48.39848984,Adverse,1
Autumn,7766,346,38,20,Sunday,Morning,02/10/2024 08:00,02/10/2024 08:00,8,13.61242495,2824,12.75911144,Clear,1
Spring,9202,454,30,29,Thursday,Afternoon,02/10/2024 09:00,02/10/2024 09:00,46,6.216443957,8280,42.92351263,Adverse,1
Spring,884,69,44,24,Wednesday,Evening,02/10/2024 10:00,02/10/2024 10:00,75,37.60719585,5060,27.31952336,Adverse,1
Winter,904,329,34,18,Monday,Afternoon,02/10/2024 11:00,02/10/2024 11:00,41,31.18227974,6324,28.47382573,Adverse,0
Autumn,8675,420,32,10,Saturday,Morning,02/10/2024 12:00,02/10/2024 12:00,50,25.45007557,1404,17.15869286,Clear,1
Winter,2500,316,3,41,Wednesday,Afternoon,02/10/2024 13:00,02/10/2024 13:00,55,19.38134933,2721,28.07921805,Adverse,0
Winter,6489,192,3,8,Saturday,Morning,02/10/2024 14:00,02/10/2024 14:00,50,31.02958947,6316,3.657125474,Adverse,0
Summer,1960,335,28,26,Thursday,Morning,02/10/2024 15:00,02/10/2024 15:00,69,9.613352076,4845,38.23217863,Clear,1
Summer,7690,572,44,29,Tuesday,Afternoon,02/10/2024 16:00,02/10/2024 16:00,19,12.37759276,5210,14.23438808,Clear,1
Summer,7640,372,15,10,Saturday,Afternoon,02/10/2024 17:00,02/10/2024 17:00,87,26.50008605,1064,44.38041647,Adverse,1
Spring,4136,343,41,17,Sunday,Morning,02/10/2024 18:00,02/10/2024 18:00,26,7.887738165,7382,18.39253473,Adverse,0
Autumn,5309,180,23,2,Friday,Evening,02/10/2024 19:00,02/10/2024 19:00,37,-6.804952898,1968,7.141205524,Clear,0
Autumn,4678,166,40,6,Wednesday,Night,02/10/2024 20:00,02/10/2024 20:00,71,-6.283269556,1368,34.79407872,Adverse,0
Autumn,7745,263,11,5,Thursday,Morning,02/10/2024 21:00,02/10/2024 21:00,64,-4.231859935,9424,8.228907236,Adverse,0
Autumn,7100,224,48,28,Thursday,Afternoon,02/10/2024 22:00,02/10/2024 22:00,53,33.48406617,3242,37.68402578,Adverse,0
Summer,6497,364,32,41,Saturday,Afternoon,02/10/2024 23:00,02/10/2024 23:00,112,13.61132129,6002,48.40561182,Adverse,0
Spring,2548,556,36,5,Tuesday,Evening,03/10/2024 00:00,03/10/2024 00:00,112,25.64411847,4083,38.97764344,Clear,0
Spring,5280,215,33,18,Monday,Night,03/10/2024 01:00,03/10/2024 01:00,23,9.64546678,9073,1.122462422,Adverse,0
Summer,1216,426,24,26,Wednesday,Morning,03/10/2024 02:00,03/10/2024 02:00,46,2.935547371,9880,29.9942894,Clear,0
Spring,8439,310,39,20,Thursday,Morning,03/10/2024 03:00,03/10/2024 03:00,70,7.359608378,2469,34.77053355,Adverse,1
Summer,6065,393,34,41,Tuesday,Night,03/10/2024 04:00,03/10/2024 04:00,82,29.70911727,5725,41.27291629,Clear,0
Autumn,5044,570,28,49,Friday,Morning,03/10/2024 05:00,03/10/2024 05:00,85,21.26080625,5259,2.800115447,Adverse,1
Summer,5476,352,37,27,Thursday,Night,03/10/2024 06:00,03/10/2024 06:00,62,36.881989,4622,24.0053914,Clear,1
Autumn,3919,79,7,49,Tuesday,Afternoon,03/10/2024 07:00,03/10/2024 07:00,56,23.98523893,1823,26.76854363,Adverse,0
Autumn,7739,341,4,12,Monday,Night,03/10/2024 08:00,03/10/2024 08:00,54,18.50908159,4431,8.456243132,Clear,1
Winter,749,60,37,7,Monday,Morning,03/10/2024 09:00,03/10/2024 09:00,59,20.50980045,7528,16.12249049,Adverse,1
Summer,9365,178,1,3,Thursday,Night,03/10/2024 10:00,03/10/2024 10:00,98,37.11857197,5151,22.01108631,Adverse,1
Winter,1270,94,1,10,Sunday,Evening,03/10/2024 11:00,03/10/2024 11:00,61,29.41004649,5213,41.6604844,Clear,0
Summer,4863,257,47,34,Thursday,Afternoon,03/10/2024 12:00,03/10/2024 12:00,29,-8.797938132,8420,46.4703783,Clear,1
Summer,1577,544,20,25,Saturday,Afternoon,03/10/2024 13:00,03/10/2024 13:00,92,16.70698481,9989,31.42114145,Clear,1
Winter,8927,118,19,35,Wednesday,Night,03/10/2024 14:00,03/10/2024 14:00,21,24.41692058,1779,19.7472593,Clear,0
Winter,9080,220,29,16,Tuesday,Morning,03/10/2024 15:00,03/10/2024 15:00,74,27.43492392,3892,12.70155089,Clear,1
Summer,8401,265,10,2,Thursday,Evening,03/10/2024 16:00,03/10/2024 16:00,83,0.657105966,6534,49.10675922,Adverse,0
Spring,5358,71,18,24,Wednesday,Afternoon,03/10/2024 17:00,03/10/2024 17:00,28,33.35886772,4306,49.1509999,Clear,1
Autumn,7044,549,28,10,Saturday,Afternoon,03/10/2024 18:00,03/10/2024 18:00,114,37.79215736,3902,46.24884741,Clear,0
Winter,5219,335,35,38,Wednesday,Morning,03/10/2024 19:00,03/10/2024 19:00,40,1.835765292,4718,39.28345749,Adverse,1
Autumn,3314,301,43,22,Thursday,Morning,03/10/2024 20:00,03/10/2024 20:00,41,34.13077288,1021,16.28897719,Clear,0
Spring,3874,275,47,26,Monday,Evening,03/10/2024 21:00,03/10/2024 21:00,97,-5.151061874,2500,40.85002417,Clear,1
Spring,1752,310,31,43,Tuesday,Night,03/10/2024 22:00,03/10/2024 22:00,64,-7.214658194,4641,20.43965086,Clear,0
Spring,7496,185,27,39,Tuesday,Morning,03/10/2024 23:00,03/10/2024 23:00,30,-3.538809995,6212,16.33865491,Adverse,0
Winter,5173,276,11,27,Monday,Night,04/10/2024 00:00,04/10/2024 00:00,29,-7.112946027,1191,37.24326792,Clear,1
Spring,5030,365,49,29,Sunday,Evening,04/10/2024 01:00,04/10/2024 01:00,111,32.25061186,9587,3.982696381,Adverse,0
Winter,7381,244,49,47,Thursday,Night,04/10/2024 02:00,04/10/2024 02:00,17,-7.047492777,8174,2.428136165,Adverse,0
Spring,7449,98,38,38,Tuesday,Afternoon,04/10/2024 03:00,04/10/2024 03:00,118,3.583209568,6114,22.39768486,Clear,0
Autumn,6741,282,5,20,Thursday,Night,04/10/2024 04:00,04/10/2024 04:00,16,-4.812182823,5662,22.28194004,Adverse,1
Autumn,8517,243,8,27,Saturday,Evening,04/10/2024 05:00,04/10/2024 05:00,37,4.771101816,5326,44.78220765,Clear,1
Summer,7441,554,34,41,Thursday,Evening,04/10/2024 06:00,04/10/2024 06:00,13,-5.47202662,5335,6.307654814,Clear,1
Autumn,7502,486,48,20,Wednesday,Evening,04/10/2024 07:00,04/10/2024 07:00,86,23.40016254,9281,6.164196373,Clear,0
Summer,1831,237,12,44,Monday,Night,04/10/2024 08:00,04/10/2024 08:00,88,-3.333659183,9648,7.372630024,Clear,0
Autumn,4761,487,38,19,Sunday,Afternoon,04/10/2024 09:00,04/10/2024 09:00,78,32.59229629,6494,1.486813065,Clear,1
Winter,8148,353,1,20,Thursday,Morning,04/10/2024 10:00,04/10/2024 10:00,109,30.85955254,9536,3.586586891,Adverse,1
Autumn,5615,210,31,35,Sunday,Afternoon,04/10/2024 11:00,04/10/2024 11:00,55,-9.316915726,3711,32.99349334,Adverse,0
Summer,5137,443,4,47,Sunday,Night,04/10/2024 12:00,04/10/2024 12:00,21,34.78631778,8595,21.57921646,Adverse,0
Summer,5354,367,49,2,Saturday,Night,04/10/2024 13:00,04/10/2024 13:00,66,-8.552784163,7273,38.18015335,Adverse,0
Spring,3677,395,45,30,Friday,Morning,04/10/2024 14:00,04/10/2024 14:00,55,1.982289248,7284,49.62988593,Clear,1
Winter,8230,434,5,34,Monday,Night,04/10/2024 15:00,04/10/2024 15:00,118,-8.380543111,9817,32.95173405,Clear,0
Autumn,2680,67,30,22,Sunday,Evening,04/10/2024 16:00,04/10/2024 16:00,18,6.792174352,4994,2.522778531,Adverse,1
Spring,5392,400,24,3,Tuesday,Evening,04/10/2024 17:00,04/10/2024 17:00,56,15.69332629,2678,5.228143238,Clear,0
Autumn,7543,188,3,6,Wednesday,Evening,04/10/2024 18:00,04/10/2024 18:00,43,29.83224345,9414,44.05020424,Adverse,0
Autumn,637,411,11,15,Tuesday,Evening,04/10/2024 19:00,04/10/2024 19:00,97,6.899077523,1743,26.37479723,Adverse,0
Spring,6827,417,45,27,Saturday,Evening,04/10/2024 20:00,04/10/2024 20:00,34,25.27450123,1462,41.24185797,Adverse,0
Spring,3972,576,4,10,Saturday,Night,04/10/2024 21:00,04/10/2024 21:00,113,-0.624777144,2568,42.83061681,Adverse,0
Spring,5949,554,26,9,Tuesday,Morning,04/10/2024 22:00,04/10/2024 22:00,0,27.52992284,2736,46.38372707,Clear,0
Spring,3332,145,27,33,Monday,Morning,04/10/2024 23:00,04/10/2024 23:00,51,1.799830295,8903,47.49146027,Clear,0
Spring,4079,234,46,32,Tuesday,Evening,05/10/2024 00:00,05/10/2024 00:00,84,-2.822762203,8002,27.74128983,Adverse,0
Autumn,6471,252,43,48,Thursday,Night,05/10/2024 01:00,05/10/2024 01:00,92,-0.729557481,9856,17.05100861,Adverse,0
Spring,4664,370,27,6,Tuesday,Afternoon,05/10/2024 02:00,05/10/2024 02:00,69,-0.896843556,2356,48.09324372,Adverse,1
Winter,8441,178,42,41,Wednesday,Afternoon,05/10/2024 03:00,05/10/2024 03:00,36,15.64314397,2014,27.3703203,Adverse,1
Summer,6069,277,6,36,Wednesday,Night,05/10/2024 04:00,05/10/2024 04:00,64,32.23987906,2054,3.212636148,Adverse,1
Spring,4800,486,15,2,Friday,Evening,05/10/2024 05:00,05/10/2024 05:00,50,-6.01974615,2764,32.1388275,Clear,0
Spring,6769,473,30,29,Wednesday,Morning,05/10/2024 06:00,05/10/2024 06:00,0,25.34781592,7009,29.38423752,Adverse,0
Autumn,4318,173,42,4,Tuesday,Night,05/10/2024 07:00,05/10/2024 07:00,90,22.71732298,5458,44.78964364,Adverse,0
Spring,2406,204,37,1,Wednesday,Afternoon,05/10/2024 08:00,05/10/2024 08:00,20,33.62599759,1667,32.65935946,Clear,1
Spring,6754,597,37,19,Monday,Afternoon,05/10/2024 09:00,05/10/2024 09:00,52,2.207378025,4370,17.45262122,Clear,0
Spring,1260,362,42,26,Sunday,Afternoon,05/10/2024 10:00,05/10/2024 10:00,15,12.50549293,6976,48.31128629,Clear,0
Autumn,8330,404,37,25,Wednesday,Evening,05/10/2024 11:00,05/10/2024 11:00,107,36.29136872,2394,40.0809743,Clear,1
Spring,7850,60,35,10,Thursday,Afternoon,05/10/2024 12:00,05/10/2024 12:00,60,22.99967251,9290,31.52088092,Clear,0
Summer,6738,206,23,15,Monday,Night,05/10/2024 13:00,05/10/2024 13:00,53,9.438420643,5070,14.64626017,Clear,0
Autumn,6590,346,6,22,Friday,Night,05/10/2024 14:00,05/10/2024 14:00,39,-3.429380857,7982,18.67701482,Clear,0
Summer,6531,112,4,48,Thursday,Afternoon,05/10/2024 15:00,05/10/2024 15:00,25,3.124250395,9613,33.4984962,Clear,1
Autumn,8187,363,18,21,Tuesday,Night,05/10/2024 16:00,05/10/2024 16:00,79,19.06077387,6599,3.599040923,Clear,1
Spring,9591,128,9,22,Sunday,Afternoon,05/10/2024 17:00,05/10/2024 17:00,91,25.90839738,4650,12.83402958,Adverse,0
Summer,8972,420,49,36,Tuesday,Afternoon,05/10/2024 18:00,05/10/2024 18:00,64,-3.778905657,4620,35.69504667,Clear,0
Autumn,2387,279,29,34,Sunday,Morning,05/10/2024 19:00,05/10/2024 19:00,99,19.979863,4190,24.00092549,Adverse,1
Winter,3766,220,13,30,Sunday,Evening,05/10/2024 20:00,05/10/2024 20:00,73,17.51756394,9789,20.11967824,Adverse,0
Spring,1166,148,47,25,Tuesday,Evening,05/10/2024 21:00,05/10/2024 21:00,63,15.69777233,1391,7.57288112,Adverse,1
Autumn,4688,218,17,45,Thursday,Morning,05/10/2024 22:00,05/10/2024 22:00,42,24.50615588,2075,22.09245172,Adverse,1
Winter,1171,548,45,28,Thursday,Morning,05/10/2024 23:00,05/10/2024 23:00,16,31.87247975,3650,38.53459854,Adverse,1
Autumn,7277,383,32,1,Sunday,Evening,06/10/2024 00:00,06/10/2024 00:00,58,6.149484159,3384,13.2006423,Adverse,0
Winter,8070,440,48,49,Thursday,Afternoon,06/10/2024 01:00,06/10/2024 01:00,22,34.45060951,1809,0.269927109,Adverse,1
Spring,8456,161,22,45,Sunday,Afternoon,06/10/2024 02:00,06/10/2024 02:00,6,-1.968319369,9047,33.42524506,Adverse,0
Summer,5624,553,4,4,Sunday,Evening,06/10/2024 03:00,06/10/2024 03:00,43,-1.348806512,6501,48.63133022,Clear,0
Winter,6085,78,5,7,Monday,Afternoon,06/10/2024 04:00,06/10/2024 04:00,52,3.338603181,7895,30.34132818,Adverse,1
Autumn,5277,513,37,49,Saturday,Morning,06/10/2024 05:00,06/10/2024 05:00,70,-4.023456523,2159,5.996092946,Adverse,0
Spring,4400,541,41,9,Monday,Afternoon,06/10/2024 06:00,06/10/2024 06:00,107,1.515961234,8574,16.03665462,Adverse,0
Winter,7177,456,49,36,Tuesday,Afternoon,06/10/2024 07:00,06/10/2024 07:00,78,-4.679411855,2531,43.38208074,Adverse,0
Autumn,7481,338,13,19,Saturday,Night,06/10/2024 08:00,06/10/2024 08:00,33,31.08762085,6481,11.62840371,Clear,1
Autumn,6876,424,34,1,Wednesday,Night,06/10/2024 09:00,06/10/2024 09:00,45,-3.051550406,8548,30.38479517,Adverse,0
Autumn,1023,390,45,10,Tuesday,Night,06/10/2024 10:00,06/10/2024 10:00,108,27.36487788,5976,20.13356041,Clear,1
Winter,2893,403,22,36,Friday,Afternoon,06/10/2024 11:00,06/10/2024 11:00,67,-7.604306604,6695,10.39218607,Clear,1
Winter,3093,514,23,9,Monday,Evening,06/10/2024 12:00,06/10/2024 12:00,77,37.42601638,9445,40.67034468,Adverse,0
Winter,7740,124,3,45,Thursday,Morning,06/10/2024 13:00,06/10/2024 13:00,77,25.55800438,4548,37.14156382,Adverse,1
Summer,7437,135,42,46,Monday,Afternoon,06/10/2024 14:00,06/10/2024 14:00,15,-9.660172571,7163,33.0795533,Clear,0
Winter,6690,202,34,42,Thursday,Evening,06/10/2024 15:00,06/10/2024 15:00,70,28.19282501,7671,11.81682951,Adverse,1
Winter,5740,532,32,32,Saturday,Afternoon,06/10/2024 16:00,06/10/2024 16:00,95,15.70409604,6264,4.892850136,Adverse,1
Winter,6993,476,45,32,Friday,Morning,06/10/2024 17:00,06/10/2024 17:00,18,28.96825852,2231,28.80796649,Clear,1
Summer,3378,364,49,6,Saturday,Afternoon,06/10/2024 18:00,06/10/2024 18:00,1,16.12484044,3423,27.68389168,Clear,0
Winter,4643,556,21,48,Friday,Morning,06/10/2024 19:00,06/10/2024 19:00,9,22.05124288,9071,9.419250467,Adverse,1
Autumn,4144,350,46,38,Monday,Afternoon,06/10/2024 20:00,06/10/2024 20:00,49,29.31658277,5261,2.812334716,Adverse,0
Winter,4932,161,44,17,Thursday,Morning,06/10/2024 21:00,06/10/2024 21:00,80,10.25540273,3908,4.03542271,Adverse,1
Autumn,1776,326,21,10,Saturday,Afternoon,06/10/2024 22:00,06/10/2024 22:00,100,-9.864592509,5712,49.63854933,Clear,1
Autumn,6311,62,44,27,Friday,Morning,06/10/2024 23:00,06/10/2024 23:00,11,32.4973248,7755,39.17919474,Adverse,0
Autumn,802,144,11,35,Sunday,Night,07/10/2024 00:00,07/10/2024 00:00,69,9.044518131,4883,46.0993738,Clear,0
Summer,1138,387,39,21,Tuesday,Afternoon,07/10/2024 01:00,07/10/2024 01:00,21,14.8021363,4515,9.752736112,Clear,1
Summer,555,509,4,25,Tuesday,Afternoon,07/10/2024 02:00,07/10/2024 02:00,31,-9.611667892,4403,48.02842682,Adverse,1
Summer,9217,513,1,28,Saturday,Evening,07/10/2024 03:00,07/10/2024 03:00,104,14.60460052,5598,7.132717574,Clear,0
Winter,8650,280,28,47,Thursday,Evening,07/10/2024 04:00,07/10/2024 04:00,83,39.32437008,6008,25.45409143,Adverse,0
Autumn,2625,213,24,15,Sunday,Morning,07/10/2024 05:00,07/10/2024 05:00,0,3.913383041,7222,41.48478422,Adverse,1
Summer,864,71,35,4,Saturday,Afternoon,07/10/2024 06:00,07/10/2024 06:00,53,9.770913512,5009,17.49016773,Clear,0
Summer,7309,192,13,29,Monday,Morning,07/10/2024 07:00,07/10/2024 07:00,110,24.35949982,3735,21.24142666,Adverse,0
Winter,5121,363,47,9,Friday,Night,07/10/2024 08:00,07/10/2024 08:00,116,30.73968338,5491,6.409255515,Clear,0
Summer,5626,352,34,27,Monday,Evening,07/10/2024 09:00,07/10/2024 09:00,57,10.8695812,9593,6.146094,Clear,0
Winter,5622,359,11,26,Tuesday,Morning,07/10/2024 10:00,07/10/2024 10:00,69,5.48344352,1974,30.97841124,Adverse,1
Spring,2146,102,36,19,Friday,Morning,07/10/2024 11:00,07/10/2024 11:00,82,36.89129,1223,33.77661843,Adverse,1
Summer,1418,402,17,28,Saturday,Evening,07/10/2024 12:00,07/10/2024 12:00,17,23.85724833,5613,38.8666257,Adverse,1
Spring,3297,385,35,17,Monday,Afternoon,07/10/2024 13:00,07/10/2024 13:00,5,-4.048934775,7777,27.83410263,Adverse,0
Winter,7006,557,18,43,Wednesday,Morning,07/10/2024 14:00,07/10/2024 14:00,44,-6.553606093,9427,32.28796461,Clear,1
Autumn,6370,423,40,41,Thursday,Evening,07/10/2024 15:00,07/10/2024 15:00,96,14.17749254,5211,0.675863585,Clear,0
Summer,2031,486,22,42,Sunday,Afternoon,07/10/2024 16:00,07/10/2024 16:00,22,1.004503302,1225,8.108536357,Clear,0
Winter,8672,80,24,20,Sunday,Night,07/10/2024 17:00,07/10/2024 17:00,22,2.699237669,9183,49.2457383,Adverse,1
Autumn,3845,466,19,45,Thursday,Evening,07/10/2024 18:00,07/10/2024 18:00,25,33.88460894,5277,3.799675316,Clear,0
Autumn,8173,395,37,40,Wednesday,Morning,07/10/2024 19:00,07/10/2024 19:00,76,-5.521698784,2341,33.93941111,Clear,1
Spring,7449,176,39,39,Tuesday,Night,07/10/2024 20:00,07/10/2024 20:00,6,25.76820576,5036,8.804131652,Adverse,0
Winter,7382,183,21,49,Friday,Afternoon,07/10/2024 21:00,07/10/2024 21:00,78,3.557112669,9401,35.83592929,Adverse,1
Autumn,2406,458,8,23,Thursday,Afternoon,07/10/2024 22:00,07/10/2024 22:00,43,28.01641107,4727,35.29952015,Adverse,0
Summer,3586,110,28,47,Wednesday,Evening,07/10/2024 23:00,07/10/2024 23:00,26,26.12056922,4928,11.70995299,Clear,0
Summer,8652,383,5,32,Saturday,Evening,08/10/2024 00:00,08/10/2024 00:00,25,-9.630404928,3803,13.48171996,Adverse,0
Spring,6250,200,17,47,Sunday,Evening,08/10/2024 01:00,08/10/2024 01:00,96,15.45677065,7558,32.73853568,Clear,1
Autumn,9405,529,37,33,Wednesday,Afternoon,08/10/2024 02:00,08/10/2024 02:00,78,-3.034025881,1393,19.50430194,Clear,1
Winter,1562,393,36,46,Tuesday,Night,08/10/2024 03:00,08/10/2024 03:00,35,33.31135153,7839,9.727398485,Clear,1
Summer,2476,432,19,5,Tuesday,Afternoon,08/10/2024 04:00,08/10/2024 04:00,108,33.57929414,9795,36.58397994,Clear,1
Autumn,1796,553,27,43,Monday,Morning,08/10/2024 05:00,08/10/2024 05:00,54,10.91729037,1581,7.707376217,Clear,1
Autumn,6729,598,34,48,Thursday,Afternoon,08/10/2024 06:00,08/10/2024 06:00,63,12.21978092,1132,42.78218321,Adverse,0
Spring,8141,215,11,34,Monday,Morning,08/10/2024 07:00,08/10/2024 07:00,90,5.16414697,3838,25.7334762,Clear,0
Summer,625,350,45,40,Sunday,Night,08/10/2024 08:00,08/10/2024 08:00,56,25.83031495,4385,5.285030194,Adverse,1
Summer,5132,203,47,11,Wednesday,Evening,08/10/2024 09:00,08/10/2024 09:00,68,7.933068151,4770,34.70361668,Clear,1
Winter,6788,165,12,3,Friday,Evening,08/10/2024 10:00,08/10/2024 10:00,60,3.389623726,3268,25.95815198,Clear,1
Summer,4096,479,21,33,Friday,Afternoon,08/10/2024 11:00,08/10/2024 11:00,1,11.61155298,1975,14.90287859,Adverse,0
Winter,6668,61,11,11,Tuesday,Evening,08/10/2024 12:00,08/10/2024 12:00,54,-5.425624081,8605,21.12696901,Clear,0
Summer,8061,149,39,16,Friday,Night,08/10/2024 13:00,08/10/2024 13:00,96,27.33016023,8213,14.91688718,Clear,1
Spring,8758,404,28,18,Friday,Evening,08/10/2024 14:00,08/10/2024 14:00,79,-9.370179936,3835,13.15129179,Adverse,1
Summer,732,409,5,30,Sunday,Afternoon,08/10/2024 15:00,08/10/2024 15:00,86,22.22425308,3738,8.180421042,Adverse,0
Winter,9861,518,17,48,Friday,Night,08/10/2024 16:00,08/10/2024 16:00,37,-0.856773662,5134,18.13835666,Clear,1
Winter,6871,322,20,10,Wednesday,Morning,08/10/2024 17:00,08/10/2024 17:00,118,1.620202311,7833,12.54936032,Clear,1
Spring,4706,410,41,18,Friday,Afternoon,08/10/2024 18:00,08/10/2024 18:00,79,21.78159993,9353,34.17172435,Clear,0
Summer,8443,167,46,38,Saturday,Morning,08/10/2024 19:00,08/10/2024 19:00,77,39.64717329,2909,34.19383706,Adverse,1
Summer,7391,98,12,19,Friday,Night,08/10/2024 20:00,08/10/2024 20:00,28,28.88587445,2963,25.09201213,Clear,1
Spring,7238,218,6,36,Friday,Afternoon,08/10/2024 21:00,08/10/2024 21:00,25,1.291981611,6153,38.89722637,Adverse,1
Summer,2972,371,17,13,Monday,Afternoon,08/10/2024 22:00,08/10/2024 22:00,34,-1.198762248,1966,42.06698595,Adverse,1
Summer,3239,300,19,46,Wednesday,Night,08/10/2024 23:00,08/10/2024 23:00,78,33.31164351,1889,28.98832287,Clear,1
Winter,5901,504,26,3,Tuesday,Evening,09/10/2024 00:00,09/10/2024 00:00,66,12.2091974,4061,30.94675814,Adverse,0
Summer,2261,357,48,10,Monday,Afternoon,09/10/2024 01:00,09/10/2024 01:00,86,-3.147359859,7461,14.14429549,Clear,0
Summer,1376,95,44,38,Thursday,Afternoon,09/10/2024 02:00,09/10/2024 02:00,28,33.11057117,7166,44.74346004,Clear,0
Spring,4312,143,44,1,Wednesday,Morning,09/10/2024 03:00,09/10/2024 03:00,33,30.80461765,7967,1.210302221,Adverse,0
Spring,1960,511,32,27,Saturday,Evening,09/10/2024 04:00,09/10/2024 04:00,96,39.19531819,9101,17.43012347,Adverse,0
Autumn,2233,444,6,46,Wednesday,Morning,09/10/2024 05:00,09/10/2024 05:00,40,35.48718434,8379,36.09002108,Adverse,0
Winter,2105,231,36,8,Thursday,Morning,09/10/2024 06:00,09/10/2024 06:00,40,32.58951693,8280,4.004475484,Adverse,1
Summer,6122,435,38,46,Thursday,Evening,09/10/2024 07:00,09/10/2024 07:00,22,-7.371280109,2067,9.158476371,Adverse,0
Summer,7267,421,11,42,Thursday,Evening,09/10/2024 08:00,09/10/2024 08:00,70,-4.779231525,5223,29.46428639,Adverse,1
